Name,group,class,code,designation
Lesser Yellowlegs,CHARADRIIFORMES,S,3
Willet,CHARADRIIFORMES,S,2
Greater Yellowlegs,CHARADRIIFORMES,S,1
Marsh Sandpiper,CHARADRIIFORMES,S,5
Wilson's Phalarope,CHARADRIIFORMES,S,1
Red-necked Phalarope,CHARADRIIFORMES,S,2
Red Phalarope,CHARADRIIFORMES,S,4
Parasitic Jaeger,CHARADRIIFORMES,S,5
Long-tailed Jaeger,CHARADRIIFORMES,S,5
Black-legged Kittiwake,CHARADRIIFORMES,S,5
Sabine's Gull,CHARADRIIFORMES,S,4
Bonaparte's Gull,CHARADRIIFORMES,S,2
Little Gull,CHARADRIIFORMES,S,5
Franklin's Gull,CHARADRIIFORMES,S,4
Mew Gull,CHARADRIIFORMES,S,3
Ring-billed Gull,CHARADRIIFORMES,S,1
Western Gull,CHARADRIIFORMES,S,3
California Gull,CHARADRIIFORMES,S,1
Herring Gull,CHARADRIIFORMES,S,1
Thayer’s Gull,CHARADRIIFORMES,S,2
Lesser Black-backed Gull,CHARADRIIFORMES,S,4
Slaty-backed Gull,CHARADRIIFORMES,S,5
Glaucous-winged Gull,CHARADRIIFORMES,S,2
Glaucous Gull,CHARADRIIFORMES,S,3
gull sp.,CHARADRIIFORMES,SP,NA
Least Tern,CHARADRIIFORMES,S,5
Caspian Tern,CHARADRIIFORMES,S,2
Black Tern,CHARADRIIFORMES,S,3
Common Tern,CHARADRIIFORMES,S,4
Arctic Tern,CHARADRIIFORMES,S,5
Forster's Tern,CHARADRIIFORMES,S,2
Black Skimmer,CHARADRIIFORMES,S,5
Red-throated Loon,GAVIIFORMES,S,5
Pacific Loon,GAVIIFORMES,S,5
Common Loon,GAVIIFORMES,S,4
loon sp.,GAVIIFORMES,SP,NA
Fork-tailed Storm-Petrel,PROCELLARIIFORMES,S,5
Wood Stork,CICONIIFORMES,S,5
Double-crested Cormorant,SULIFORMES,S,1
American White Pelican,PELECANIFORMES,S,2
Brown Pelican,PELECANIFORMES,S,4
American Bittern,PELECANIFORMES,S,2
Least Bittern,PELECANIFORMES,S,3
Great Blue Heron,PELECANIFORMES,S,1
Great Egret,PELECANIFORMES,S,1
Snowy Egret,PELECANIFORMES,S,1
Little Blue Heron,PELECANIFORMES,S,5
Cattle Egret,PELECANIFORMES,S,2
Green Heron,PELECANIFORMES,S,1
Black-crowned Night-Heron,PELECANIFORMES,S,1
Glossy Ibis,PELECANIFORMES,S,5
White-faced Ibis,PELECANIFORMES,S,1
Turkey Vulture,CATHARTIFORMES,S,1
Osprey,ACCIPITRIFORMES,S,3
White-tailed Kite,ACCIPITRIFORMES,S,1
Golden Eagle,ACCIPITRIFORMES,S,3
Northern Harrier,ACCIPITRIFORMES,S,1
Sharp-shinned Hawk,ACCIPITRIFORMES,S,2
Cooper's Hawk,ACCIPITRIFORMES,S,2
Northern Goshawk,ACCIPITRIFORMES,S,4
Accipiter sp.,ACCIPITRIFORMES,SP,NA
Bald Eagle,ACCIPITRIFORMES,S,3
Red-shouldered Hawk,ACCIPITRIFORMES,S,2
Swainson's Hawk,ACCIPITRIFORMES,S,1
Zone-tailed Hawk,ACCIPITRIFORMES,S,5
Red-tailed Hawk,ACCIPITRIFORMES,S,1
Red-tailed Hawk (Harlan's),ACCIPITRIFORMES,SS,NA
Rough-legged Hawk,ACCIPITRIFORMES,S,4
Ferruginous Hawk,ACCIPITRIFORMES,S,3
Buteo sp.,ACCIPITRIFORMES,SP,NA
hawk sp.,ACCIPITRIFORMES,SP,NA
eagle sp.,ACCIPITRIFORMES,SP,NA
Barn Owl,STRIGIFORMES,S,1
Flammulated Owl,STRIGIFORMES,S,4
Western Screech-Owl,STRIGIFORMES,S,3
Great Horned Owl,STRIGIFORMES,S,1
Snowy Owl,STRIGIFORMES,S,5
Northern Pygmy-Owl,STRIGIFORMES,S,3
Burrowing Owl,STRIGIFORMES,S,2
Long-eared Owl,STRIGIFORMES,S,4
Short-eared Owl,STRIGIFORMES,S,3
Northern Saw-whet Owl,STRIGIFORMES,S,4
owl sp.,STRIGIFORMES,SP,NA
Belted Kingfisher,CORACIIFORMES,S,1
Lewis's Woodpecker,PICIFORMES,S,3
Acorn Woodpecker,PICIFORMES,S,1
Yellow-bellied Sapsucker,PICIFORMES,S,4
Red-naped Sapsucker,PICIFORMES,S,4
Red-breasted Sapsucker,PICIFORMES,S,2
"sapsucker, sp.",PICIFORMES,SP,NA
Downy Woodpecker,PICIFORMES,S,2
Nuttall's Woodpecker,PICIFORMES,S,1
Hairy Woodpecker,PICIFORMES,S,3
Northern Flicker,PICIFORMES,S,1
Northern Flicker (Yellow-shafted),PICIFORMES,SS,NA
Northern Flicker (Red-shafted),PICIFORMES,SS,NA
Northern Flicker (intergrade),PICIFORMES,H,NA
Pileated Woodpecker,PICIFORMES,S,3
Crested Caracara,FALCONIFORMES,S,5
American Kestrel,FALCONIFORMES,S,1
Merlin,FALCONIFORMES,S,3
Gyrfalcon,FALCONIFORMES,S,1
Peregrine Falcon,FALCONIFORMES,S,3
Prairie Falcon,FALCONIFORMES,S,3
falcon sp.,FALCONIFORMES,SP,NA
Ash-throated Flycatcher,PASSERIFORMES,S,1
Tropical Kingbird,PASSERIFORMES,S,5
Cassin's Kingbird,PASSERIFORMES,S,5
Western Kingbird,PASSERIFORMES,S,1
Eastern Kingbird,PASSERIFORMES,S,5
Scissor-tailed Flycatcher,PASSERIFORMES,S,5
Olive-sided Flycatcher,PASSERIFORMES,S,3
Western Wood-Pewee,PASSERIFORMES,S,2
Eastern Wood-Pewee,PASSERIFORMES,S,5
Yellow-bellied Flycatcher,PASSERIFORMES,S,5
Willow Flycatcher,PASSERIFORMES,S,1
Least Flycatcher,PASSERIFORMES,S,4
Hammond's Flycatcher,PASSERIFORMES,S,5,Rare
Gray Flycatcher,PASSERIFORMES,S,4
Dusky Flycatcher,PASSERIFORMES,S,3
Pacific-slope Flycatcher,PASSERIFORMES,S,1
Black Phoebe,PASSERIFORMES,S,1
Eastern Phoebe,PASSERIFORMES,S,4
Say's Phoebe,PASSERIFORMES,S,2
Empidonax sp.,PASSERIFORMES,SP,NA
Vermilion Flycatcher,PASSERIFORMES,S,5
Loggerhead Shrike,PASSERIFORMES,S,2
Northern Shrike,PASSERIFORMES,S,4
Bell's Vireo,PASSERIFORMES,S,4
Hutton's Vireo,PASSERIFORMES,S,3
Cassin's Vireo,PASSERIFORMES,S,3
Plumbeous Vireo,PASSERIFORMES,S,4
Warbling Vireo,PASSERIFORMES,S,2
Red-eyed Vireo,PASSERIFORMES,S,5
Steller's Jay,PASSERIFORMES,S,1,
California Scrub-Jay,PASSERIFORMES,S,1
Clark's Nutcracker,PASSERIFORMES,S,5
Yellow-billed Magpie,PASSERIFORMES,S,1
American Crow,PASSERIFORMES,S,1
Common Raven,PASSERIFORMES,S,1
Horned Lark,PASSERIFORMES,S,1
Purple Martin,PASSERIFORMES,S,3
Tree Swallow,PASSERIFORMES,S,1
Violet-green Swallow,PASSERIFORMES,S,2
Northern Rough-winged Swallow,PASSERIFORMES,S,2
Bank Swallow,PASSERIFORMES,S,3
Cliff Swallow,PASSERIFORMES,S,1
Barn Swallow,PASSERIFORMES,S,1
Mountain Chickadee,PASSERIFORMES,S,5
Chestnut-backed Chickadee,PASSERIFORMES,S,4
Oak Titmouse,PASSERIFORMES,S,2
Bushtit,PASSERIFORMES,S,1
Red-breasted Nuthatch,PASSERIFORMES,S,3
White-breasted Nuthatch,PASSERIFORMES,S,2
Pygmy Nuthatch,PASSERIFORMES,S,5
Brown Creeper,PASSERIFORMES,S,3
Rock Wren,PASSERIFORMES,S,3
Canyon Wren,PASSERIFORMES,S,3
House Wren,PASSERIFORMES,S,1
Pacific Wren,PASSERIFORMES,S,3
Winter Wren,PASSERIFORMES,S,5
Marsh Wren,PASSERIFORMES,S,1
Bewick's Wren,PASSERIFORMES,S,2
Blue-gray Gnatcatcher,PASSERIFORMES,S,2
American Dipper,PASSERIFORMES,S,3
Golden-crowned Kinglet,PASSERIFORMES,S,3
Ruby-crowned Kinglet,PASSERIFORMES,S,1
Wrentit,PASSERIFORMES,S,1
Taiga Flycatcher,PASSERIFORMES,S,5
Western Bluebird,PASSERIFORMES,S,2
Mountain Bluebird,PASSERIFORMES,S,3
Townsend's Solitaire,PASSERIFORMES,S,4
Veery,PASSERIFORMES,S,5
Swainson's Thrush,PASSERIFORMES,S,2
Hermit Thrush,PASSERIFORMES,S,2
American Robin,PASSERIFORMES,S,1
Varied Thrush,PASSERIFORMES,S,3
Gray Catbird,PASSERIFORMES,S,5
Curve-billed Thrasher,PASSERIFORMES,S,5
California Thrasher,PASSERIFORMES,S,2
Sage Thrasher,PASSERIFORMES,S,4
Northern Mockingbird,PASSERIFORMES,S,1
European Starling,PASSERIFORMES,S,1
Bohemian Waxwing,PASSERIFORMES,S,5
Cedar Waxwing,PASSERIFORMES,S,1
Phainopepla,PASSERIFORMES,S,3
House Sparrow,PASSERIFORMES,S,1
Citrine Wagtail,PASSERIFORMES,S,5
Red-throated Pipit,PASSERIFORMES,S,5
American Pipit,PASSERIFORMES,S,1
Evening Grosbeak,PASSERIFORMES,S,4
House Finch,PASSERIFORMES,S,1
Purple Finch,PASSERIFORMES,S,3
Cassin's Finch,PASSERIFORMES,S,4
Common Redpoll,PASSERIFORMES,S,5
Red Crossbill,PASSERIFORMES,S,3
Pine Siskin,PASSERIFORMES,S,3
Lesser Goldfinch,PASSERIFORMES,S,1
Lawrence's Goldfinch,PASSERIFORMES,S,4
American Goldfinch,PASSERIFORMES,S,1
goldfinch sp.,PASSERIFORMES,SP,NA
Lapland Longspur,PASSERIFORMES,S,4
Chestnut-collared Longspur,PASSERIFORMES,S,4
McCown's Longspur,PASSERIFORMES,S,4
Snow Bunting,PASSERIFORMES,S,5
Green-tailed Towhee,PASSERIFORMES,S,4
Spotted Towhee,PASSERIFORMES,S,1
Rufous-crowned Sparrow,PASSERIFORMES,S,3
California Towhee,PASSERIFORMES,S,2
American Tree Sparrow,PASSERIFORMES,S,5
Chipping Sparrow,PASSERIFORMES,S,2
Clay-colored Sparrow,PASSERIFORMES,S,4
Brewer's Sparrow,PASSERIFORMES,S,4
Black-chinned Sparrow,PASSERIFORMES,S,4
Vesper Sparrow,PASSERIFORMES,S,3
Lark Sparrow,PASSERIFORMES,S,1
Black-throated Sparrow,PASSERIFORMES,S,5
Sagebrush Sparrow,PASSERIFORMES,S,5
Bell's Sparrow,PASSERIFORMES,S,2
Lark Bunting,PASSERIFORMES,S,4
Savannah Sparrow,PASSERIFORMES,S,1
Grasshopper Sparrow,PASSERIFORMES,S,4
Fox Sparrow,PASSERIFORMES,S,2
Fox Sparrow (Sooty),PASSERIFORMES,SS,2
Fox Sparrow (Thick-billed),PASSERIFORMES,SS,NA
Fox Sparrow (Slate-colored),PASSERIFORMES,SS,NA
Fox Sparrow (Red),PASSERIFORMES,SS,NA
Song Sparrow,PASSERIFORMES,S,1
Lincoln's Sparrow,PASSERIFORMES,S,2
Swamp Sparrow,PASSERIFORMES,S,4
White-throated Sparrow,PASSERIFORMES,S,3
Harris's Sparrow,PASSERIFORMES,S,4
White-crowned Sparrow,PASSERIFORMES,S,1
White-crowned Sparrow (pugetensis),PASSERIFORMES,SS,NA
Golden-crowned Sparrow,PASSERIFORMES,S,1
